liberty,34
library,45
license,32
lie,45
life,203
lifted,45
light,130
like,515
liked,63
likely,37
linton,341
lintons,70
lips,77
listen,44
listened,39
little,520
live,96
lived,51
living,65
long,337
longer,75
look,249
looked,291
looking,110
looks,38
lost,54
love,235
loved,57
low,80
lowood,54
maam,36
mad,39
made,262
make,259
making,50
man,223
manner,63
many,103
married,70
marry,66
mary,85
mason,54
master,262
masters,39
matter,71
may,282
me,3055
mean,74
means,54
meantime,36
meet,47
men,44
mere,50
met,40
might,291
miles,39
mind,193
mine,126
minute,56
minutes,102
miss,432
mistress,71
moment,138
money,50
months,53
moon,51
moor,38
moors,32
more,574
morning,171
most,136
mother,70
mouth,40
move,32
moved,41
mr,849
mrs,383
much,301
must,512
muttered,38
my,3294
myself,295
name,118
narrow,36
natural,40
nature,93
nay,31
near,169
nearly,59
neck,42
need,64
neither,96
nelly,83
never,465
new,133
next,97
night,222
no,1122
nobody,50
noise,32
none,63
nor,204
not,2504
nothing,262
notice,56
notion,38
now,878
nurse,42
nursery,31
o,42
obeyed,33
object,40
obliged,39
observed,68
oclock,47
of,6798
off,241
offer,41
offered,42
often,103
oh,210
old,195
on,1966
once,258
one,845
ones,34
only,433
open,123
opened,95
or,1078
order,60
other,278
others,46
ought,52
our,220
out,700
outside,31
over,414
own,321
pain,36
pale,64
papa,78
parlour,47
part,96
pass,64
passed,113
passing,38
passion,42
past,53
path,31
peace,31
people,108
perhaps,140
person,91
picture,36
pity,54
place,174
placed,44
plain,36
play,34
pleasant,46
please,71
pleased,46
pleasure,101
point,62
poor,113
possessed,31
possible,33
power,63
presence,69
present,105
presently,54
pretty,46
pride,40
probably,64
proceeded,41
project,177
promise,48
pure,36
purpose,43
put,221
putting,33
question,65
quiet,82
quietly,44
quite,182
rain,45
raised,43
ran,79
rather,197
reach,37
reached,47
read,111
reader,39
reading,36
ready,59
real,40
really,71
reason,50
receive,31
received,75
red,39
reed,114
regard,31
remain,39
remained,49
remarked,40
remember,74
removed,46
repeat,34
repeated,48
replied,144
reply,48
resolved,41
rest,97
resumed,33
return,112
returned,126
rich,42
right,141
rise,44
rising,40
rivers,52
road,77
rochester,312
rochesters,53
roof,36
room,278
rose,126
rough,31
round,179
run,54
running,35
sad,41
said,943
sake,42
same,120
sat,157
saw,263
say,299
saying,42
says,53
scarcely,73
scene,47
school,74
schoolroom,32
seat,66
seated,40
second,69
secret,34
see,450
seeing,39
seek,65
seem,37
seemed,278
seems,34
seen,114
seized,38
send,63
sense,83
sent,70
servant,64
servants,59
set,137
settle,35
settled,32
shall,435
shame,31
she,2716
shes,50
shone,33
shook,45
short,68
should,535
shoulder,36
show,63
showed,42
shut,79
sick,39
side,128
sight,51
silence,81
silent,64
since,133
single,37
sir,338
sister,40
sisters,53
sit,111
sitting,59
six,43
sky,43
sleep,64
small,64
smile,64
smiled,35
snow,35
so,971
society,40
soft,51
solitude,34
some,525
something,182
sometimes,88
somewhat,35
son,50
soon,223
sorry,41
sort,83
sought,48
soul,66
sound,68
space,31
speak,139
speaking,49
spirit,71
spirits,33
spoke,78
spoken,34
spring,36
st,137
stand,51
standing,40
started,31
state,59
stay,102
stayed,33
step,67
steps,40
still,341
stone,33
stood,166
stopped,61
strange,125
stranger,49
strength,58
strong,77
struck,72
subject,56
such,366
sudden,30
suddenly,48
suffer,39
summer,43
sun,44
supper,30
suppose,101
sure,142
surprise,32
sweet,60
t,82
table,100
take,264
taken,84
taking,58
tale,39
talk,111
talking,36
tall,40
task,34
taste,31
tea,60
tears,61
tell,266
temple,54
ten,51
terms,53
th,30
than,488
thank,39
that,2814
thats,51
the,12674
their,492
them,621
themselves,31
then,768
there,783
therefore,31
theres,36
these,211
they,785
thin,30
thing,128
things,107
think,330
thinking,42
third,36
this,1025
thornfield,98
those,170
though,254
thought,371
thoughts,58
three,143
through,231
thus,78
till,259
time,341
times,61
tired,48
to,8734
together,85
told,160
tomorrow,44
tone,57
tongue,42
tonight,55
too,382
took,218
top,31
touch,41
touched,33
towards,101
trees,47
tried,49
trouble,67
true,58
truth,54
try,53
turn,102
turned,137
turning,54
twenty,44
twice,32
two,303
uncle,47
under,231
understand,43
unless,56
up,670
upon,74
upstairs,71
us,304
use,65
used,80
usual,51
uttered,43
very,496
visit,48
voice,157
wait,50
waiting,34
walk,89
walked,57
wall,54
walls,33
want,137
wanted,78
warm,40
was,3631
watch,49
watched,43
water,74
way,222
we,632
week,47
weeks,42
well,460
went,232
were,967
wet,35
what,999
whatever,37
when,862
where,341
whether,129
which,778
while,279
whispered,47
white,92
who,436
whole,112
whom,79
whose,81
why,190
wicked,41
wide,35
wife,100
wild,82
will,860
wind,68
window,115
winter,40
wish,183
wished,99
wishes,31
with,2280
within,93
without,215
woman,101
wonder,61
wont,93
wood,41
word,130
words,146
work,175
works,69
world,119
worse,61
would,1102
wouldnt,51
wrong,41
wuthering,66
ye,55
year,35
years,135
yes,223
yesterday,32
yet,347
you,4755
youll,87
young,186
your,1088
youre,32
yours,43
yourself,112
youve,35
zillah,33
